window_start,log_count,n_components,n_anomalies,anomaly_label,cpu_usage_rate,memory_usage_bytes,replayer_lines_per_second,replayer_cpu_iter_rate,replayer_anomalies_rate,label
2026-07-25 23:35:00+00:00,36,1,29,KERNDTLB,3.650204466666666,1019142144.0,0.6160935310141052,1155.5555555555554,0.5777777777777777,1
2026-07-25 23:36:00+00:00,71,1,22,KERNSTOR,3.469651844444444,1435447296.0,0.6035527223730203,1155.5555555555554,0.3777777777777777,1
2026-07-25 23:37:00+00:00,69,1,0,,2.6064019777777774,82726912.0,1.2650104217661908,2575.2,0.4888888888888888,0
2026-07-25 23:38:00+00:00,46,2,2,APPCHILD,0.0015883333333333333,82767872.0,1.2395494991483607,3143.3111111111107,0.0,1
2026-07-25 23:39:00+00:00,51,2,0,,0.33452968888888884,82890752.0,0.7609101205651801,1644.4444444444443,0.02222222222222222,0
2026-07-25 23:40:00+00:00,48,3,0,,0.0008546444444444444,82915328.0,0.7870499178095343,1555.5555555555554,0.0,0
2026-07-25 23:41:00+00:00,47,2,0,,0.0009299777777777776,83587072.0,0.8879657950727805,1521.0888888888887,0.0,0
2026-07-25 23:42:00+00:00,62,2,0,,0.0008986444444444443,83599360.0,0.711648558859342,1422.222222222222,0.0,0
2026-07-25 23:43:00+00:00,48,1,0,,0.0010550444444444443,83619840.0,1.046195001413109,1883.333333333333,0.0,0
2026-07-25 23:44:00+00:00,54,3,0,,0.0009628666666666666,83640320.0,0.8416068115368186,1482.7777777777776,0.0,0
2026-07-25 23:45:00+00:00,68,1,0,,0.0010644888888888889,83656704.0,0.8890056622207312,1866.6666666666665,0.0,0
2026-07-25 23:46:00+00:00,64,1,0,,0.001395222222222222,83681280.0,1.3010154412267618,2604.644444444444,0.0,0
2026-07-25 23:47:00+00:00,65,2,2,KERNRTSP,0.0013141999999999997,83701760.0,1.288263505871058,2617.111111111111,0.0,1
2026-07-25 23:48:00+00:00,81,2,0,,0.4345634,83738624.0,1.1283308655597168,2358.2666666666664,0.0,0
2026-07-25 23:49:00+00:00,66,1,0,,0.001760222222222222,84156416.0,1.5639787435120933,3909.333333333333,0.0,0
2026-07-25 23:50:00+00:00,57,1,1,KERNTERM,0.0012907333333333332,84172800.0,1.152625149296596,2625.7777777777774,0.0,1
2026-07-25 23:51:00+00:00,68,1,0,,0.33326484444444443,84193280.0,0.9938344552928464,2084.4888888888886,0.0,0
2026-07-25 23:52:00+00:00,55,1,0,,0.0012796888888888887,84217856.0,1.2591048461426257,2658.644444444444,0.0,0
2026-07-25 23:53:00+00:00,38,4,0,,0.0011304,84238336.0,0.9728333727448416,1991.622222222222,0.0,0
2026-07-25 23:54:00+00:00,42,2,3,KERNTERM,0.0008252888888888888,84254720.0,0.7538454998473475,1333.3333333333333,0.0,1
2026-07-25 23:55:00+00:00,54,3,0,,0.7170974666666665,84291584.0,0.6332658932398276,1422.222222222222,0.04444444444444444,0
2026-07-25 23:56:00+00:00,0,0,0,,0.0012097777777777775,84422656.0,1.1625288572575352,2351.222222222222,0.0,0
2026-07-25 23:57:00+00:00,0,0,0,,0.0,84422656.0,1.1625288572575352,0.0,0.0,0
2026-07-25 23:58:00+00:00,0,0,0,,0.0,84422656.0,1.1625288572575352,0.0,0.0,0
2026-07-25 23:59:00+00:00,0,0,0,,0.0,84422656.0,1.1625288572575352,0.0,0.0,0
2026-07-26 00:00:00+00:00,0,0,0,,0.0,84422656.0,1.1625288572575352,0.0,0.0,0
2026-07-26 00:01:00+00:00,0,0,0,,0.0,0.0,0.0,0.0,0.0,0
